City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
48,hanzhong,33.0728,107.0303,9.38,59,81,0.28,CN,1675612752
49,kosino,58.4127,51.2782,-14.21,99,95,1.99,RU,1675612753
50,saldanha,-33.0117,17.9442,26.03,81,35,9.58,ZA,1675612753
51,torbay,47.6666,-52.7314,-3.01,75,40,11.32,CA,1675612754
52,yellowknife,62.456,-114.3525,-29.71,76,75,2.57,CA,1675612622
53,tiksi,71.6872,128.8694,-34.13,100,100,1.42,RU,1675612755
54,komsomolskiy,40.4272,71.7189,4.4,93,100,0.0,UZ,1675612756
55,ponta do sol,32.6667,-17.1,18.4,44,27,1.54,PT,1675612757
56,sistranda,63.7256,8.834,2.98,59,87,9.25,NO,1675612757
57,tuatapere,-46.1333,167.6833,14.29,92,99,4.22,NZ,1675612758
58,turukhansk,65.8167,87.9833,-15.86,98,98,1.33,RU,1675612758
59,mikhaylov,54.2292,39.0186,-3.21,95,100,2.01,RU,1675612759
60,tinde,-3.8833,33.2,22.68,65,64,3.14,TZ,1675612760
61,bambous virieux,-20.3428,57.7575,27.34,89,40,1.54,MU,1675612761
62,hobart,-42.8794,147.3294,14.92,76,94,4.63,AU,1675612686
63,alofi,-19.0595,-169.9187,24.94,94,100,1.54,NU,1675612762
64,kenora,49.8167,-94.4337,-15.46,85,75,4.12,CA,1675612576
65,cidreira,-30.1811,-50.2056,27.62,42,17,6.97,BR,1675612763
66,batemans bay,-35.7167,150.1833,16.52,82,90,1.32,AU,1675612763
67,gold coast,-28.0,153.4333,23.89,87,75,1.54,AU,1675612764
68,rio brilhante,-21.8019,-54.5464,30.76,50,85,1.18,BR,1675612765
69,ushuaia,-54.8,-68.3,5.81,75,75,12.35,AR,1675612766
70,omboue,-1.5746,9.2618,27.55,78,96,3.36,GA,1675612766
71,longyearbyen,78.2186,15.6401,-6.09,73,40,20.06,SJ,1675612767
72,puerto ayora,-0.7393,-90.3518,28.98,90,52,4.02,EC,1675612767
73,north bend,43.4065,-124.2243,8.25,93,100,5.66,US,1675612768
74,kaitangata,-46.2817,169.8464,13.37,95,100,2.49,NZ,1675612768
75,cape town,-33.9258,18.4232,24.51,74,20,10.29,ZA,1675612636
